Frequency (Hz)	Level (dB)
1512.707520	-59.187542
1518.090820	-58.675247
1523.474121	-59.258244
1528.857422	-57.675247
1534.240723	-57.683117
1539.624023	-57.204540
1545.007324	-54.618961
1550.390625	-55.274960
1555.773926	-53.790859
1561.157227	-51.128483
1566.540527	-46.384830
1571.923828	-41.191059
1577.307129	-41.508991
1582.690430	-47.177952
1588.073730	-52.904423
1593.457031	-55.748062
1598.840332	-58.011906
1604.223633	-59.094803
1609.606934	-60.022087
1614.990234	-58.194912
1620.373535	-55.748070
1625.756836	-56.187172
1631.140137	-59.715828
1636.523438	-60.409237
1641.906738	-57.253719
1647.290039	-48.718079
1652.673340	-45.848648
1658.056641	-50.002987
1663.439941	-52.106098
1668.823242	-52.528095
1674.206543	-54.507423
1679.589844	-59.218140
1684.973145	-63.230461
1690.356445	-64.442268
1695.739746	-63.843491
1701.123047	-63.007034
1706.506348	-60.333855
1711.889648	-59.072495
1717.272949	-61.650333
1722.656250	-62.147854
1728.039551	-59.075970
1733.422852	-50.786293
1738.806152	-48.508514
1744.189453	-54.516861
1749.572754	-56.210201
1754.956055	-53.361874
1760.339355	-50.740108
1765.722656	-44.830837
1771.105957	-44.512627
1776.489258	-50.244911
1781.872559	-56.096622
1787.255859	-58.432232
1792.639160	-61.032402
1798.022461	-63.412167
1803.405762	-63.661804
1808.789063	-63.799271
1814.172363	-63.710663
1819.555664	-62.833138
1824.938965	-61.542519
1830.322266	-57.458958
1835.705566	-51.509537
1841.088867	-47.201065
1846.472168	-50.930187
1851.855469	-55.567490
1857.238770	-56.653141
1862.622070	-62.034817
1868.005371	-59.058121
1873.388672	-55.640587
1878.771973	-58.452404
1884.155273	-63.613285
1889.538574	-67.001518
1894.921875	-65.466827
1900.305176	-65.184502
1905.688477	-66.297226
1911.071777	-65.423264
1916.455078	-62.444366
1921.838379	-58.672009
1927.221680	-61.493408
1932.604980	-64.272331
1937.988281	-61.161434
1943.371582	-56.482533
1948.754883	-57.864590
1954.138184	-62.173504
1959.521484	-59.772499
1964.904785	-54.436844
1970.288086	-54.648205
1975.671387	-52.921021
1981.054688	-46.739246
1986.437988	-41.796181
1991.821289	-40.488300
1997.204590	-47.143055
2002.587891	-53.952263
2007.971191	-57.295952
2013.354492	-59.931576
2018.737793	-61.671043
2024.121094	-63.223225
2029.504395	-61.794239
2034.887695	-57.061329
2040.270996	-59.040787
2045.654297	-64.773048
2051.037598	-64.340614
2056.420898	-61.999016
2061.804199	-53.150990
2067.187500	-50.255016
2072.570801	-55.701294
2077.954102	-59.002369
2083.337402	-59.223251
2088.720703	-60.972927
2094.104004	-55.716213
2099.487305	-49.831295
2104.870605	-45.190800
2110.253906	-42.810040
2115.637207	-47.260326
2121.020508	-54.413876
2126.403809	-58.043194
2131.787109	-59.693493
2137.170410	-62.684788
2142.553711	-64.526161
2147.937012	-66.335205
2153.320313	-67.346527
2158.703613	-67.871857
2164.086914	-64.748352
2169.470215	-61.172070
2174.853516	-59.310646
2180.236816	-58.375511
2185.620117	-59.206696
2191.003418	-63.913551
2196.386719	-64.644196
2201.770020	-59.453938
2207.153320	-56.602020
2212.536621	-55.323471
2217.919922	-55.087273
2223.303223	-54.592648
2228.686523	-54.460197
2234.069824	-60.324005
2239.453125	-59.870514
2244.836426	-54.524712
2250.219727	-56.927078
2255.603027	-61.141731
2260.986328	-63.529430
2266.369629	-67.475479
2271.752930	-68.313934
2277.136230	-66.502838
2282.519531	-61.453075
2287.902832	-61.266655
2293.286133	-65.729568
2298.669434	-64.647583
2304.052734	-62.009190
2309.436035	-59.501698
2314.819336	-53.915203
2320.202637	-51.513035
2325.585938	-56.387497
2330.969238	-63.985882
2336.352539	-65.993423
2341.735840	-64.818367
2347.119141	-61.789680
2352.502441	-56.014946
2357.885742	-51.891739
2363.269043	-47.220612
2368.652344	-45.289951
2374.035645	-49.020245
2379.418945	-52.716579
2384.802246	-56.086315
2390.185547	-60.157314
2395.568848	-62.305931
2400.952148	-63.595207
2406.335449	-66.078430
2411.718750	-67.967072
2417.102051	-68.673309
2422.485352	-69.939430
2427.868652	-69.937180
2433.251953	-68.887512
2438.635254	-68.049271
2444.018555	-65.215340
2449.401855	-66.376404
2454.785156	-68.902275
2460.168457	-68.843117
2465.551758	-66.208443
2470.935059	-61.657249
2476.318359	-59.977989
2481.701660	-59.051704
2487.084961	-55.136421
2492.468262	-51.076435
2497.851563	-52.601460
2503.234863	-57.124710
2508.618164	-62.616940
2514.001465	-62.881451
2519.384766	-55.472057
2524.768066	-55.463272
2530.151367	-59.907078
2535.534668	-61.289097
2540.917969	-65.567749
2546.301270	-69.771042
2551.684570	-69.468697
2557.067871	-68.848625
2562.451172	-69.081772
2567.834473	-69.646873
2573.217773	-68.693726
2578.601074	-66.863647
2583.984375	-64.093422
2589.367676	-62.870842
2594.750977	-61.324070
2600.134277	-60.765450
2605.517578	-62.015255
2610.900879	-65.226799
2616.284180	-64.095467
2621.667480	-62.833233
2627.050781	-59.292507
2632.434082	-59.454708
2637.817383	-54.052475
2643.200684	-50.971603
2648.583984	-53.450085
2653.967285	-53.284119
2659.350586	-50.220272
2664.733887	-48.907711
2670.117188	-51.539177
2675.500488	-55.504330
2680.883789	-59.629078
2686.267090	-60.152435
2691.650391	-62.416332
2697.033691	-61.694893
2702.416992	-61.535065
2707.800293	-67.389465
2713.183594	-67.276482
2718.566895	-66.022964
2723.950195	-66.372421
2729.333496	-68.289604
2734.716797	-68.525169
2740.100098	-67.920700
2745.483398	-68.601013
2750.866699	-69.969742
2756.250000	-70.147797
2761.633301	-69.852295
2767.016602	-68.298676
2772.399902	-63.400749
2777.783203	-59.372849
2783.166504	-58.177864
2788.549805	-61.274433
2793.933105	-59.809505
2799.316406	-60.032398
2804.699707	-59.453899
2810.083008	-60.523651
2815.466309	-64.477257
