Frequency (Hz)	Level (dB)
1512.707520	-57.368458
1518.090820	-56.429638
1523.474121	-57.409180
1528.857422	-57.739655
1534.240723	-56.801430
1539.624023	-54.109932
1545.007324	-50.055798
1550.390625	-52.101948
1555.773926	-52.081329
1561.157227	-48.801807
1566.540527	-44.469696
1571.923828	-40.278629
1577.307129	-41.426552
1582.690430	-47.590931
1588.073730	-53.033180
1593.457031	-54.178276
1598.840332	-54.192509
1604.223633	-56.425152
1609.606934	-58.017605
1614.990234	-55.712254
1620.373535	-55.135201
1625.756836	-57.093204
1631.140137	-59.164978
1636.523438	-60.812481
1641.906738	-58.054062
1647.290039	-50.283386
1652.673340	-47.248825
1658.056641	-51.863743
1663.439941	-54.397236
1668.823242	-53.073856
1674.206543	-52.179699
1679.589844	-57.074139
1684.973145	-62.007328
1690.356445	-61.360039
1695.739746	-60.204590
1701.123047	-59.946331
1706.506348	-60.337360
1711.889648	-59.182739
1717.272949	-59.257416
1722.656250	-59.137760
1728.039551	-57.055779
1733.422852	-52.971317
1738.806152	-51.037323
1744.189453	-53.234165
1749.572754	-50.402306
1754.956055	-46.182381
1760.339355	-43.362225
1765.722656	-42.010559
1771.105957	-43.897442
1776.489258	-48.226879
1781.872559	-52.840630
1787.255859	-54.056953
1792.639160	-54.599491
1798.022461	-57.304729
1803.405762	-58.790436
1808.789063	-59.648808
1814.172363	-58.507847
1819.555664	-56.452503
1824.938965	-57.552822
1830.322266	-59.184860
1835.705566	-55.833710
1841.088867	-51.914791
1846.472168	-54.709663
1851.855469	-55.679821
1857.238770	-56.070168
1862.622070	-61.059093
1868.005371	-58.118263
1873.388672	-54.668648
1878.771973	-56.772308
1884.155273	-58.576626
1889.538574	-58.382839
1894.921875	-60.112572
1900.305176	-60.375774
1905.688477	-59.804455
1911.071777	-61.480160
1916.455078	-62.845398
1921.838379	-61.168461
1927.221680	-61.996803
1932.604980	-60.840584
1937.988281	-59.649734
1943.371582	-55.912235
1948.754883	-55.544823
1954.138184	-53.327568
1959.521484	-54.898342
1964.904785	-53.064739
1970.288086	-50.314663
1975.671387	-44.061913
1981.054688	-40.179245
1986.437988	-41.880939
1991.821289	-43.621288
1997.204590	-49.256001
2002.587891	-54.068378
2007.971191	-55.621002
2013.354492	-57.096432
2018.737793	-57.307983
2024.121094	-59.180042
2029.504395	-60.674244
2034.887695	-56.983189
2040.270996	-58.976391
2045.654297	-62.699207
2051.037598	-62.171421
2056.420898	-62.369888
2061.804199	-57.065090
2067.187500	-54.772125
2072.570801	-56.579231
2077.954102	-54.504414
2083.337402	-51.817822
2088.720703	-48.262768
2094.104004	-41.497356
2099.487305	-36.882229
2104.870605	-40.144138
2110.253906	-44.923450
2115.637207	-48.617134
2121.020508	-52.629768
2126.403809	-53.606937
2131.787109	-55.712132
2137.170410	-58.066280
2142.553711	-60.034874
2147.937012	-63.174232
2153.320313	-63.957726
2158.703613	-64.540733
2164.086914	-65.375969
2169.470215	-62.056732
2174.853516	-59.089588
2180.236816	-56.937698
2185.620117	-57.770519
2191.003418	-62.819870
2196.386719	-61.751369
2201.770020	-59.946655
2207.153320	-58.709938
2212.536621	-55.646938
2217.919922	-52.253414
2223.303223	-53.791416
2228.686523	-56.955540
2234.069824	-63.503098
2239.453125	-63.469574
2244.836426	-58.501331
2250.219727	-60.558563
2255.603027	-62.894791
2260.986328	-63.719589
2266.369629	-65.633789
2271.752930	-65.501984
2277.136230	-63.957256
2282.519531	-58.426910
