Frequency (Hz)	Level (dB)
1512.707520	-56.679638
1518.090820	-55.996647
1523.474121	-57.184063
1528.857422	-56.573635
1534.240723	-55.294857
1539.624023	-53.550789
1545.007324	-50.069145
1550.390625	-51.239460
1555.773926	-49.929760
1561.157227	-46.700615
1566.540527	-42.433643
1571.923828	-38.679962
1577.307129	-40.017647
1582.690430	-45.961727
1588.073730	-51.308865
1593.457031	-52.760090
1598.840332	-52.285652
1604.223633	-54.559948
1609.606934	-56.806519
1614.990234	-54.796368
1620.373535	-54.018230
1625.756836	-55.585129
1631.140137	-58.356808
1636.523438	-60.538673
1641.906738	-59.400227
1647.290039	-53.947445
1652.673340	-50.915936
1658.056641	-53.530487
1663.439941	-52.107712
1668.823242	-51.313271
1674.206543	-52.089855
1679.589844	-56.734623
1684.973145	-60.974533
1690.356445	-60.215816
1695.739746	-59.706524
1701.123047	-59.811897
1706.506348	-59.685658
1711.889648	-58.002213
1717.272949	-57.854206
1722.656250	-58.062286
1728.039551	-56.370422
1733.422852	-52.607689
1738.806152	-50.732174
1744.189453	-52.403091
1749.572754	-49.006969
1754.956055	-44.917061
1760.339355	-41.958809
1765.722656	-41.013893
1771.105957	-43.799339
1776.489258	-47.597816
1781.872559	-51.524536
1787.255859	-52.975327
1792.639160	-53.640781
1798.022461	-56.578091
1803.405762	-57.814754
1808.789063	-58.308147
1814.172363	-57.626518
1819.555664	-55.747772
1824.938965	-56.632538
1830.322266	-58.254635
1835.705566	-55.337360
1841.088867	-51.626507
1846.472168	-54.106110
1851.855469	-54.727154
1857.238770	-55.182289
1862.622070	-60.031967
1868.005371	-56.921734
1873.388672	-53.457977
1878.771973	-55.285934
1884.155273	-57.949265
1889.538574	-58.240658
1894.921875	-59.232746
1900.305176	-60.172497
1905.688477	-59.967590
1911.071777	-61.347088
1916.455078	-62.455597
1921.838379	-60.656876
1927.221680	-61.418194
1932.604980	-60.476292
1937.988281	-58.711575
1943.371582	-55.159317
1948.754883	-55.049484
1954.138184	-53.014668
1959.521484	-54.341038
1964.904785	-52.284023
1970.288086	-50.377369
1975.671387	-45.022129
1981.054688	-41.091957
1986.437988	-43.420593
1991.821289	-47.024670
1997.204590	-51.572361
2002.587891	-55.278660
2007.971191	-56.742546
2013.354492	-58.009747
2018.737793	-57.628368
2024.121094	-59.327793
2029.504395	-61.165070
2034.887695	-57.072414
2040.270996	-59.181725
2045.654297	-63.198540
2051.037598	-62.886169
2056.420898	-62.942802
2061.804199	-58.707478
2067.187500	-55.466331
2072.570801	-56.352421
2077.954102	-53.672703
2083.337402	-50.093533
2088.720703	-46.174747
2094.104004	-39.657192
2099.487305	-36.049614
2104.870605	-39.756393
2110.253906	-44.504410
2115.637207	-48.706837
2121.020508	-52.067539
2126.403809	-53.432484
2131.787109	-55.744732
2137.170410	-57.833054
2142.553711	-59.537140
2147.937012	-62.619778
2153.320313	-63.130939
2158.703613	-64.248108
2164.086914	-65.445374
2169.470215	-61.411854
2174.853516	-57.590847
2180.236816	-55.307892
2185.620117	-56.323776
2191.003418	-61.908844
2196.386719	-60.913464
2201.770020	-59.211487
2207.153320	-58.719635
2212.536621	-56.908504
2217.919922	-52.424507
2223.303223	-53.310841
2228.686523	-55.932762
2234.069824	-62.242950
2239.453125	-60.911438
2244.836426	-55.833233
2250.219727	-58.988308
2255.603027	-62.095524
2260.986328	-62.995991
2266.369629	-65.729759
2271.752930	-65.819717
2277.136230	-63.213051
2282.519531	-56.922798
2287.902832	-56.741058
2293.286133	-61.532635
2298.669434	-60.732944
2304.052734	-59.162708
2309.436035	-59.323395
2314.819336	-57.160580
2320.202637	-56.563889
2325.585938	-59.665558
2330.969238	-58.910770
2336.352539	-61.177273
2341.735840	-62.596157
2347.119141	-56.754944
2352.502441	-52.894474
2357.885742	-50.103439
2363.269043	-45.584400
2368.652344	-43.950878
2374.035645	-49.031898
2379.418945	-53.597507
2384.802246	-53.482834
2390.185547	-56.775021
2395.568848	-61.494473
2400.952148	-64.412155
2406.335449	-65.952736
2411.718750	-64.403137
2417.102051	-60.724339
2422.485352	-62.627918
2427.868652	-64.967049
2433.251953	-63.489918
2438.635254	-59.845753
2444.018555	-55.745880
2449.401855	-58.267857
2454.785156	-65.237587
2460.168457	-66.881599
2465.551758	-66.166542
2470.935059	-63.428272
2476.318359	-60.636639
2481.701660	-58.474911
2487.084961	-58.576488
2492.468262	-58.850502
2497.851563	-59.951916
2503.234863	-62.555656
2508.618164	-65.401146
2514.001465	-64.524757
2519.384766	-56.212574
2524.768066	-55.821552
2530.151367	-60.970860
2535.534668	-63.423985
2540.917969	-67.284760
2546.301270	-67.200310
2551.684570	-65.221855
2557.067871	-64.255226
2562.451172	-65.794670
2567.834473	-66.323059
2573.217773	-64.876457
2578.601074	-63.030529
2583.984375	-58.880653
2589.367676	-58.639786
2594.750977	-57.393116
2600.134277	-58.804291
2605.517578	-61.817596
2610.900879	-60.870121
2616.284180	-58.207043
2621.667480	-59.790993
2627.050781	-59.663986
2632.434082	-59.314846
2637.817383	-54.321045
2643.200684	-51.567593
2648.583984	-54.619411
2653.967285	-55.015003
2659.350586	-50.128178
2664.733887	-48.742630
2670.117188	-51.198315
