Frequency (Hz)	Level (dB)
1512.707520	-46.548210
1518.090820	-48.932274
1523.474121	-46.433964
1528.857422	-49.293991
1534.240723	-47.943405
1539.624023	-45.693703
1545.007324	-51.262680
1550.390625	-54.884026
1555.773926	-49.854015
1561.157227	-47.919273
1566.540527	-52.410294
1571.923828	-54.217442
1577.307129	-46.741982
1582.690430	-42.295391
1588.073730	-46.951614
1593.457031	-50.303631
1598.840332	-43.953861
1604.223633	-39.821533
1609.606934	-43.057999
1614.990234	-48.198235
1620.373535	-50.617855
1625.756836	-52.503693
1631.140137	-53.990730
1636.523438	-55.739567
1641.906738	-55.700382
1647.290039	-54.710598
1652.673340	-54.295891
1658.056641	-51.782162
1663.439941	-51.655338
1668.823242	-52.947056
1674.206543	-51.787296
1679.589844	-53.648617
1684.973145	-54.169189
1690.356445	-49.380447
1695.739746	-44.824478
1701.123047	-44.416916
1706.506348	-46.561474
1711.889648	-49.858887
1717.272949	-51.313187
1722.656250	-49.320778
1728.039551	-52.044132
1733.422852	-52.815968
1738.806152	-51.402237
1744.189453	-52.275234
1749.572754	-51.963528
1754.956055	-49.400265
1760.339355	-49.403759
1765.722656	-52.433762
1771.105957	-51.389301
1776.489258	-47.136219
1781.872559	-46.351368
1787.255859	-47.429531
1792.639160	-43.428406
1798.022461	-36.933174
1803.405762	-35.533669
1808.789063	-39.451263
1814.172363	-39.965588
1819.555664	-42.278984
1824.938965	-48.906574
1830.322266	-51.656391
1835.705566	-52.146358
1841.088867	-53.276897
1846.472168	-53.504841
1851.855469	-53.117504
1857.238770	-53.285034
1862.622070	-52.978935
1868.005371	-54.202770
1873.388672	-55.425476
1878.771973	-54.759892
1884.155273	-53.520260
1889.538574	-50.329361
1894.921875	-48.945000
1900.305176	-52.295094
1905.688477	-54.232399
1911.071777	-52.875309
1916.455078	-52.802631
1921.838379	-54.271160
1927.221680	-55.375568
1932.604980	-58.288658
1937.988281	-59.395950
1943.371582	-58.447296
1948.754883	-57.217812
1954.138184	-58.168213
1959.521484	-57.549561
1964.904785	-55.379780
1970.288086	-51.062195
1975.671387	-50.305504
1981.054688	-51.492390
1986.437988	-51.737606
1991.821289	-52.009369
1997.204590	-51.113701
2002.587891	-48.307552
2007.971191	-46.120827
2013.354492	-39.388966
2018.737793	-34.403446
2024.121094	-36.399639
2029.504395	-40.684872
2034.887695	-43.563068
2040.270996	-44.035221
2045.654297	-46.177372
2051.037598	-50.360645
2056.420898	-52.150284
2061.804199	-52.804718
2067.187500	-54.466358
2072.570801	-52.478905
2077.954102	-52.369766
2083.337402	-53.112579
2088.720703	-54.044102
2094.104004	-54.628227
2099.487305	-54.178413
2104.870605	-53.055470
2110.253906	-51.427181
2115.637207	-49.762070
2121.020508	-47.332428
2126.403809	-44.420776
2131.787109	-39.598572
2137.170410	-34.873077
2142.553711	-34.177849
2147.937012	-35.711063
2153.320313	-35.449947
2158.703613	-40.119972
2164.086914	-45.485126
2169.470215	-45.922188
2174.853516	-48.428154
2180.236816	-51.876209
2185.620117	-52.022594
2191.003418	-54.324852
2196.386719	-55.201813
2201.770020	-53.830410
2207.153320	-54.526920
2212.536621	-54.053852
2217.919922	-54.693089
2223.303223	-56.686016
2228.686523	-55.753300
2234.069824	-54.758732
2239.453125	-56.199379
2244.836426	-57.043056
2250.219727	-58.142475
2255.603027	-57.046520
2260.986328	-53.383572
2266.369629	-53.711124
2271.752930	-49.187695
2277.136230	-47.782570
2282.519531	-52.394577
2287.902832	-54.753361
2293.286133	-53.868492
2298.669434	-52.163776
2304.052734	-54.427914
2309.436035	-56.143085
2314.819336	-57.469830
2320.202637	-59.407551
2325.585938	-59.325634
2330.969238	-59.031616
2336.352539	-58.975525
2341.735840	-58.676315
2347.119141	-58.781975
2352.502441	-59.614883
2357.885742	-58.749722
2363.269043	-56.403328
2368.652344	-56.734806
2374.035645	-58.771729
2379.418945	-57.141842
2384.802246	-53.993919
2390.185547	-55.141438
2395.568848	-58.402615
2400.952148	-58.308964
2406.335449	-53.712440
2411.718750	-47.942337
2417.102051	-47.304356
2422.485352	-47.863941
2427.868652	-46.441097
2433.251953	-48.880333
2438.635254	-53.465115
2444.018555	-54.820831
2449.401855	-53.823658
2454.785156	-55.920895
2460.168457	-58.099762
2465.551758	-58.987968
2470.935059	-59.192162
2476.318359	-58.309891
2481.701660	-55.441135
2487.084961	-54.287903
2492.468262	-57.581043
2497.851563	-58.510658
2503.234863	-54.202606
2508.618164	-53.932911
2514.001465	-57.733112
2519.384766	-59.581276
2524.768066	-59.609158
2530.151367	-58.042355
2535.534668	-57.239197
2540.917969	-55.904613
2546.301270	-57.418568
2551.684570	-55.239033
2557.067871	-53.911079
2562.451172	-54.592060
2567.834473	-54.460880
2573.217773	-54.551338
2578.601074	-55.543995
2583.984375	-57.323055
2589.367676	-59.248592
2594.750977	-59.977470
2600.134277	-59.756516
2605.517578	-60.046810
2610.900879	-57.056671
2616.284180	-51.526203
2621.667480	-52.708885
2627.050781	-56.470013
2632.434082	-57.873936
2637.817383	-56.467567
2643.200684	-57.348312
2648.583984	-57.413452
2653.967285	-55.734100
2659.350586	-57.948238
2664.733887	-60.469501
2670.117188	-60.817390
2675.500488	-60.884960
2680.883789	-60.756840
2686.267090	-59.507126
2691.650391	-55.107529
2697.033691	-48.699142
2702.416992	-48.360191
2707.800293	-51.992523
2713.183594	-53.425854
2718.566895	-51.142906
2723.950195	-49.659649
2729.333496	-48.532524
2734.716797	-51.656975
2740.100098	-53.116417
2745.483398	-51.088116
2750.866699	-51.360546
2756.250000	-54.737492
2761.633301	-57.794075
2767.016602	-56.706684
2772.399902	-56.541645
2777.783203	-57.517178
2783.166504	-59.639229
2788.549805	-61.324291
2793.933105	-61.310806
2799.316406	-61.906967
2804.699707	-60.824173
2810.083008	-58.655800
2815.466309	-60.713264
2820.849609	-59.726837
2826.232910	-58.981155
2831.616211	-57.805676
2836.999512	-59.688927
2842.382813	-58.136387
2847.766113	-55.831043
2853.149414	-56.492767
2858.532715	-57.214516
2863.916016	-59.146854
2869.299316	-59.944881
2874.682617	-59.047966
2880.065918	-58.069538
2885.449219	-56.410141
2890.832520	-58.424446
2896.215820	-60.993557
2901.599121	-59.201252
2906.982422	-56.230003
2912.365723	-58.086365
2917.749023	-62.682129
2923.132324	-63.251270
2928.515625	-60.476532
2933.898926	-58.378025
2939.282227	-58.085251
2944.665527	-60.196083
2950.048828	-60.467251
2955.432129	-61.032467
2960.815430	-55.826317
2966.198730	-54.971397
2971.582031	-56.836151
2976.965332	-54.022827
2982.348633	-55.812504
2987.731934	-60.806499
2993.115234	-60.461990
2998.498535	-59.215374
3003.881836	-61.166058
3009.265137	-57.373795
3014.648438	-53.723488
3020.031738	-54.155991
3025.415039	-57.464588
3030.798340	-60.367531
3036.181641	-62.622421
3041.564941	-60.778461
3046.948242	-56.220108
3052.331543	-53.751801
3057.714844	-54.187141
3063.098145	-58.239460
3068.481445	-58.517750
3073.864746	-55.576565
3079.248047	-51.999527
3084.631348	-53.320454
3090.014648	-56.243130
3095.397949	-58.875504
3100.781250	-61.985535
3106.164551	-62.218887
3111.547852	-62.256092
3116.931152	-63.475681
3122.314453	-63.326653
3127.697754	-63.158779
3133.081055	-62.640274
3138.464355	-59.368259
3143.847656	-59.745110
3149.230957	-62.644024
3154.614258	-61.781834
3159.997559	-62.096527
3165.380859	-63.912510
3170.764160	-63.679314
3176.147461	-63.396008
3181.530762	-64.350990
3186.914063	-64.602539
3192.297363	-62.201828
3197.680664	-57.845772
3203.063965	-58.099709
3208.447266	-58.543900
3213.830566	-57.842495
3219.213867	-57.025909
3224.597168	-55.372364
3229.980469	-56.412796
3235.363770	-55.461433
3240.747070	-54.592827
3246.130371	-58.776508
3251.513672	-61.337669
3256.896973	-59.304508
3262.280273	-57.428722
3267.663574	-59.403996
3273.046875	-62.184650
3278.430176	-63.482620
3283.813477	-63.363815
3289.196777	-60.099617
3294.580078	-56.824741
3299.963379	-58.648449
3305.346680	-61.231152
3310.729980	-61.136692
3316.113281	-63.484035
3321.496582	-63.541138
3326.879883	-61.510769
3332.263184	-60.276043
3337.646484	-61.446716
3343.029785	-61.451279
3348.413086	-61.303230
3353.796387	-62.840187
3359.179688	-61.818233
3364.562988	-63.092705
3369.946289	-63.676769
3375.329590	-64.420929
3380.712891	-65.078018
3386.096191	-63.401173
3391.479492	-60.168159
3396.862793	-59.167694
3402.246094	-59.302547
3407.629395	-60.525055
3413.012695	-61.367165
3418.395996	-60.504539
3423.779297	-59.700520
3429.162598	-55.139557
3434.545898	-54.459511
3439.929199	-59.151459
3445.312500	-60.632553
3450.695801	-54.675110
3456.079102	-51.414211
3461.462402	-54.637001
3466.845703	-59.132980
3472.229004	-61.387524
3477.612305	-63.001835
3482.995605	-64.877701
3488.378906	-61.054825
3493.762207	-59.975163
3499.145508	-62.953270
3504.528809	-61.648373
3509.912109	-62.603523
3515.295410	-63.988270
3520.678711	-63.502480
3526.062012	-62.847603
3531.445313	-62.467106
3536.828613	-61.348129
3542.211914	-61.961166
3547.595215	-61.825764
3552.978516	-62.785622
3558.361816	-63.029224
3563.745117	-60.658768
3569.128418	-58.431728
3574.511719	-59.877937
3579.895020	-62.043793
3585.278320	-60.907177
3590.661621	-57.754826
3596.044922	-53.361607
3601.428223	-50.937469
3606.811523	-52.484478
3612.194824	-51.520878
3617.578125	-52.266361
3622.961426	-52.094368
3628.344727	-52.642502
3633.728027	-54.587677
3639.111328	-55.135128
3644.494629	-56.204838
3649.877930	-57.702747
3655.261230	-59.855045
3660.644531	-60.603828
3666.027832	-62.521954
3671.411133	-63.494640
3676.794434	-61.619438
3682.177734	-57.371593
3687.561035	-58.005562
3692.944336	-58.159508
3698.327637	-55.171452
3703.710938	-52.804237
3709.094238	-50.604671
3714.477539	-53.572803
3719.860840	-59.376335
3725.244141	-63.463516
3730.627441	-64.434242
3736.010742	-64.495636
3741.394043	-63.271687
3746.777344	-63.604805
3752.160645	-67.381729
3757.543945	-65.872879
3762.927246	-62.967777
3768.310547	-65.530281
3773.693848	-67.871590
3779.077148	-67.936104
3784.460449	-67.997185
3789.843750	-66.714394
3795.227051	-66.176994
3800.610352	-67.004776
3805.993652	-66.116127
3811.376953	-67.603859
3816.760254	-66.641571
3822.143555	-65.716942
3827.526855	-64.691032
3832.910156	-62.624702
3838.293457	-64.597252
3843.676758	-66.229874
3849.060059	-65.870255
3854.443359	-65.188454
3859.826660	-67.059456
3865.209961	-68.144272
3870.593262	-69.847420
3875.976563	-69.961067
3881.359863	-70.029022
3886.743164	-69.870773
3892.126465	-68.277184
3897.509766	-67.444962
3902.893066	-64.908607
3908.276367	-63.571232
3913.659668	-64.664597
3919.042969	-60.939526
3924.426270	-61.381569
3929.809570	-65.841736
3935.192871	-67.945313
3940.576172	-68.340317
3945.959473	-68.195999
3951.342773	-67.328171
3956.726074	-67.773720
3962.109375	-70.104477
3967.492676	-70.255569
3972.875977	-69.603889
3978.259277	-69.261795
3983.642578	-67.611748
3989.025879	-66.675644
3994.409180	-67.005562
3999.792480	-67.794128
4005.175781	-68.536552
4010.559082	-69.902092
4015.942383	-69.380005
4021.325684	-68.269104
4026.708984	-65.807602
4032.092285	-61.171738
4037.475586	-57.606129
4042.858887	-55.748066
4048.242188	-55.511635
4053.625488	-57.200859
4059.008789	-57.088188
4064.392090	-58.448940
4069.775391	-61.040134
4075.158691	-60.381882
4080.541992	-60.309708
4085.925293	-61.667145
4091.308594	-60.731281
4096.691895	-60.420685
4102.075195	-60.035908
